DATE,MEAN_TEMP,MEDIAN_TEMP,VAR_TEMP,TOTAL_PRCP,MEAN_PRCP,MEDIAN_PRCP,VAR_PRCP,MIN_PRCP,MAX_PRCP,MIN,MAX
1970-05-31,64.8901170746541,66.1,109.89381397549676,69.7,0.005298768435456895,0.0,0.005007106807576113,0.0,2.28,16.0,112.3
1970-06-30,71.66203921568628,72.7,87.682465054545,80.06,0.00627921568627451,0.0,0.008263478389846843,0.0,3.78,25.0,120.0
1970-07-31,76.09061456752656,76.9,62.569968056908664,74.02,0.0056160849772382395,0.0,0.005107845617268739,0.0,3.11,35.1,117.3
1970-08-31,75.58563510743299,76.3,60.21292043753488,84.09,0.006384481056867361,0.0,0.007653274790275491,0.0,3.19,35.1,115.0
1970-09-30,68.92935743605936,70.5,127.94495870920841,77.83,0.00614382696558257,0.0,0.006777715792789807,0.0,3.39,16.0,110.3
1970-10-31,58.07922812380588,58.9,138.47192404494498,74.2,0.005670615208253726,0.0,0.004882485505315464,0.0,2.76,6.1,102.4
1970-11-30,47.30056542167715,47.7,157.52705367836083,57.65,0.004591064744763877,0.0,0.0030067398150258303,0.0,2.24,-20.9,90.3
1970-12-31,40.36590171534539,40.7,277.89287399945823,79.17,0.0061172925359295315,0.0,0.005111907422141289,0.0,2.28,-32.1,89.2
1971-01-31,34.73323997108782,35.3,364.03081422378483,62.24,0.005623418865196964,0.0,0.0031103278584828707,0.0,1.89,-38.0,93.4
1971-02-28,38.7716641375822,38.8,288.7792465727386,121.9,0.012331815882650482,0.0,0.010494207976922836,0.0,2.38,-36.9,93.0
1971-03-31,44.24274222704266,43.2,207.1157911236406,107.48,0.009714389009399856,0.0,0.010750311621555634,0.0,5.43,-14.1,100.9
1971-04-30,53.87763575293898,53.4,142.49312767472023,71.77,0.006696211979846986,0.0,0.006470366041448755,0.0,3.39,1.0,99.3
1971-05-31,61.65928455869135,60.9,100.66190524989604,112.62,0.010122236203487327,0.0,0.0095083895513495,0.0,2.99,18.0,108.3
1971-06-30,71.83770110666791,73.6,88.7283199378111,103.9,0.009662419789826095,0.0,0.010269668395074148,0.0,3.11,24.1,115.0
1971-07-31,74.25186928577895,74.8,65.91545164758702,150.55,0.013628134335113607,0.0,0.012143851563991307,0.0,2.68,30.9,117.0
1971-08-31,73.94514932294565,74.5,49.02506273161959,151.0,0.014004822852902986,0.0,0.021698494736036696,0.0,6.06,35.1,118.0
1971-09-30,68.31010370088478,70.3,118.76650114052951,119.23,0.011343354580915233,0.0,0.01360365669203781,0.0,4.88,15.1,115.0
1971-10-31,59.97195234577023,60.9,149.9572875152316,112.66,0.010404506834133726,0.0,0.010758938603497439,0.0,2.52,-6.0,104.0
1971-11-30,46.924070913917326,46.3,184.59308413719052,82.67999999999999,0.007838452787258247,0.0,0.006101537567417218,0.0,2.32,-15.0,90.0
1971-12-31,41.22567953561227,40.6,290.8720432282919,138.13,0.01272735649129273,0.0,0.013942726709164886,0.0,5.12,-27.0,87.1
1972-01-31,36.4112887873596,37.5,382.24734137551866,103.09,0.009812488102036932,0.0,0.007924791109144295,0.0,2.73,-43.1,91.9
1972-02-29,37.96578947368421,38.4,295.69062018849115,109.26,0.011058704453441296,0.0,0.008020095753762245,0.0,1.85,-34.1,89.1
1972-03-31,47.15571442188542,48.0,235.34316920118283,107.82,0.010277380611953102,0.0,0.008011734301469871,0.0,2.24,-23.1,98.1
1972-04-30,54.12116766761839,53.6,182.09383112952654,84.68,0.00833710741360638,0.0,0.005707839084700235,0.0,2.36,5.0,102.0
1972-05-31,63.5093408161324,63.9,94.38201129488743,134.01,0.012747075049938172,0.0,0.012106855448302716,0.0,3.74,15.1,104.0
